"ProteinGroup","Gene","Description","KO_1G4_r1","KO_1G4_r2","KO_1G4_r3","KO_1G4_r4","KO_3G4_r1","KO_3G4_r2","KO_3G4_r3","KO_3G4_r4","LTED_r1","LTED_r2","LTED_r3","LTED_r4","WT_r1","WT_r2","WT_r3","WT_r4"
"A0A075B6T4;Q9NVX7","KBTBD4","Kelch repeat and BTB domain-containing protein 4",15933.5,14747.3173828125,12840.015625,692.987426757813,8834.619140625,6375.51806640625,4058.37036132813,8672.1552734375,6423.7607421875,7071.7421875,6822.80859375,6245.27783203125,6039.3271484375,6603.7353515625,6340.4765625,NA
"A0A087WSW9;A0A087WSY9;Q16881","TXNRD1","Thioredoxin reductase 1, cytoplasmic;Thioredoxin reductase 1, cytoplasmic;Thioredoxin reductase 1, cytoplasmic",195586.984375,215574.234375,206282.78125,247838.90625,124057.1640625,133351.265625,133515.859375,114676.4453125,180839.140625,257725.375,238889.5625,218051.015625,264166,255332.1875,265054.15625,NA
"A0A087WT12;A0A087X2I2;P36969","GPX4","Glutathione peroxidase;Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase",113605.640625,141016.640625,123626.359375,141383.96875,87398.1875,77446.640625,64053.18359375,68743.96875,42805.046875,41344.2734375,73895.3984375,65013.1171875,125571.6875,186692.234375,172807.328125,NA
"A0A087WT18;Q96A73","KIAA1191","Putative monooxygenase p33MONOX",32248.732421875,35856.71484375,40851.375,37263.68359375,26430.923828125,27469.55078125,23527.603515625,26161.20703125,26617.8828125,31088.001953125,32201.95703125,30251.09765625,24854.45703125,25761.716796875,30422.39453125,NA
"A0A087WT20;Q9NV06","DCAF13","DDB1- and CUL4-associated factor 13",31123.119140625,47133.921875,29011.728515625,28067.0859375,29354.359375,38118.37890625,22713.498046875,27113.701171875,41180.359375,44948.03515625,33290.69921875,32550.166015625,75339.8828125,38434.95703125,66253.8125,NA
"A0A087WT23;A0A087WV67;O00124","UBXN8","UBX domain-containing protein 8",2246.57934570313,1176.68713378906,1305.01159667969,NA,1863.83056640625,1618.22729492188,NA,1325.55151367188,2407.14208984375,1351.43933105469,1776.06970214844,1205.8525390625,3528.53149414063,2498.03955078125,2774.86181640625,NA
"A0A087WT42;Q5VVW5;Q9NY64","SLC2A8","Solute carrier family 2, (Facilitated glucose transporter) member 8, isoform CRA_c;Solute carrier family 2, facilitated glucose transporter member 8;Solute carrier family 2, facilitated glucose transporter member 8",8414.1279296875,9155.7314453125,9113.919921875,13635.5712890625,8414.376953125,9327.2353515625,11160.8828125,7615.6171875,7197.16064453125,6257.080078125,7012.111328125,6255.70458984375,4764.71533203125,2988.62622070313,3478.70385742188,NA
"A0A087WT80;A0A087WW73;A0A1B0GWB6;Q9NQ66","PLCB1","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",28372.919921875,22887.587890625,17847.796875,9184.2353515625,27083.2421875,29702.0546875,10176.5322265625,28978.505859375,17565.505859375,11478.5166015625,18308.359375,18728.6328125,34406.0390625,21166.607421875,25967.103515625,NA
"A0A087WTA5","EIF2B4","Translation initiation factor eIF-2B subunit delta",9894.52734375,10186.7001953125,10739.0126953125,3770.62670898438,7663.23876953125,5170.97509765625,3255.97241210938,7340.87353515625,9058.67578125,8827.69921875,9616.33984375,7674.5224609375,8925.94921875,9476.9619140625,8517.8837890625,NA
"A0A087WTC6;D6R9E3;D6RCT6;Q9BWT6","MND1","Meiotic nuclear division protein 1 homolog;Meiotic nuclear division protein 1 homolog;Meiotic nuclear division protein 1 homolog (Fragment);Meiotic nuclear division protein 1 homolog",10695.8251953125,11095.9140625,11809.849609375,9266.65234375,10339.6826171875,7918.40576171875,7210.326171875,11037.5322265625,12719.5693359375,15410.6337890625,16203.818359375,15152.869140625,12681.916015625,12428.4609375,13406.060546875,NA
"A0A087WTK0;A0A087WVC6;Q12913","PTPRJ","Receptor-type tyrosine-protein phosphatase eta",8715.1484375,7326.5205078125,6453.1044921875,9161.5517578125,20971.0625,21481.150390625,28435.337890625,21627.43359375,16421.466796875,15553.3125,15643.310546875,16222.85546875,7077.74462890625,7747.81591796875,4300.0341796875,NA
"A0A087WTM1;A0A087WZ85;A0A0A0MSX4;Q9Y6N7","ROBO1","Roundabout homolog 1",1315136.75,1567470.5,1547538.375,1173071,908014.1875,1177532.875,1094858.625,1083394.875,1022933.3125,936399.5,817660.875,951591.125,757576.25,939324.25,1018137.4375,NA
"A0A087WTQ6;F8W6X9;Q7Z5N4","SDK1","Protein sidekick-1",50291.28125,63727.3359375,53896.38671875,58597.5625,34528.09765625,40716.26171875,26484.388671875,34164.2734375,38223.98046875,29760.86328125,31684.0234375,37685.5859375,27215.478515625,25194.666015625,12966.6474609375,NA
"A0A087WTT2;Q5JWB9;Q96A57","TMEM230","Transmembrane protein 230;Transmembrane protein 230 (Fragment);Transmembrane protein 230",21313.3359375,22440.62109375,23454.82421875,26396.17578125,26539.62890625,30900.375,27550.25,28750.16796875,35321.0625,37141.015625,36170.30859375,35812.30078125,17440.369140625,21521.908203125,24489.970703125,NA
"A0A087WTT9;A0A087WX43;A0A096LNJ4;A0A1B0GVW6;D6RE84;Q9NP73","ALG13","Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13",25012.7109375,27374.54296875,27745.966796875,20464.65234375,29530.10546875,37336.05859375,34543.62890625,31559.95703125,28843.4375,26874.453125,30058.275390625,28686.392578125,27541.853515625,35051.08984375,27595.466796875,NA
"A0A087WTU5;A0A087X0N3;Q96MY1","NOL4L","Nucleolar protein 4-like",11011.017578125,9023.306640625,8968.7021484375,4804.400390625,5731.61572265625,6844.11865234375,7061.17431640625,6101.02490234375,14977.0390625,15800.5419921875,13938.3447265625,13721.2412109375,6250.69873046875,5996.26318359375,7252.861328125,NA
"A0A087WTU9;A0A087WV20;Q8TCU4","ALMS1","Alstrom syndrome protein 1",318361.28125,337288.8125,400142.25,363749.96875,366868.9375,359824.59375,316319.15625,380687.875,372395.875,369527.03125,369346.125,399596.40625,266081.375,270690.71875,284557.375,NA
"A0A087WTW0;A0A087WVR3;Q96T88","UHRF1","E3 ubiquitin-protein ligase UHRF1",66676.90625,70184.2421875,64623.734375,46778.19921875,103717.015625,99257.1328125,61765.37890625,109843.453125,136451.1875,118490.1796875,112883.328125,109817,88923.625,100445.84375,97877.3828125,NA
"A0A087WTW9;A0A0A0MRA9;B7Z2N1;B7Z7N5;P49758","RGS6","Regulator of G-protein-signaling 6;Regulator of G-protein-signaling 6;Regulator of G-protein-signaling 6;Regulator of G-protein-signaling 6;Regulator of G-protein signaling 6",6942.705078125,6220.2783203125,5255.0888671875,NA,7695.798828125,NA,4483.2900390625,5570.77490234375,NA,NA,2356.5556640625,NA,NA,NA,NA,NA
"A0A087WTZ8","NSMCE2","E3 SUMO-protein ligase NSE2",28492.052734375,28506.7421875,29186.73828125,27490.845703125,23782.078125,21847.1875,24122.462890625,26527.724609375,19344.609375,18586.23828125,20643.361328125,20255.560546875,37475.51953125,38493.76171875,48505.4453125,NA
"A0A087WU02;Q96RQ1","ERGIC2","Endoplasmic reticulum-Golgi intermediate compartment protein 2",28365.091796875,28075.421875,25199.10546875,30461.935546875,30001.310546875,30459.28515625,28678.509765625,27417.267578125,37276.29296875,33069.390625,30955.779296875,31519.068359375,53777.375,56088.109375,51901.58984375,NA
"A0A087WU03","HNRNPDL","Heterogeneous nuclear ribonucleoprotein D-like",65210.28515625,91751.3046875,79296.5546875,82282.4453125,86899.8203125,94048.9921875,86781.21875,78101.28125,68602.0234375,90412,54018.609375,58181.82421875,132658.171875,48983.8515625,100673.8359375,NA
"A0A087WU07;Q5TGZ0;R4GNA1","MICOS10;MICOS10;MICOS10-NBL1","MICOS complex subunit MIC10;MICOS complex subunit MIC10;MICOS complex subunit MIC10 (Fragment)",49388.43359375,50274.27734375,45325.52734375,32434.287109375,37908.69921875,37674.48046875,34806.56640625,42116.91015625,34084.7578125,34874.44921875,36821.46484375,36087.90625,21689.072265625,25461.634765625,22163.0625,NA
"A0A087WU53;Q9H0U3","MAGT1","Magnesium transporter protein 1",133531.28125,125234.5546875,124412.90625,130993.7109375,124892.5859375,124727.375,130465.4375,126519.3515625,123478.3203125,109691.578125,111589.90625,110310.5390625,82454.578125,85691.2890625,93962.7578125,NA
"A0A087WU78;A0A087WWC4;Q6T4R5","NHS","Nance-Horan syndrome protein",3428.09643554688,4089.07861328125,2750.74829101563,3879.91235351563,4341.796875,6512.0517578125,4736.00390625,6107.7177734375,2859.4833984375,1451.38269042969,2154.78881835938,2271.77807617188,3627.30541992188,3737.90283203125,6385.5634765625,NA
"A0A087WUB9;Q8WYA6","CTNNBL1","Beta-catenin-like protein 1",269291.09375,264888.28125,267873.34375,255862.375,257260.75,273335.6875,253151.40625,269258.9375,283357.375,277101.3125,274729.53125,289660.25,370855,383937.28125,383204.125,NA
"A0A087WUC6;Q15005","SPCS2","Signal peptidase complex subunit 2",447199.03125,404699.1875,417620.1875,329980.15625,517812.84375,541406.6875,493269.71875,500226.65625,401169.84375,376078.25,413812.15625,373765.71875,508991.25,558501.8125,488809.0625,996222.1875
"A0A087WUE4;A0A0G2JNN3;C9JMY0;Q96PV6","LENG8","Leukocyte receptor cluster member 8;Leukocyte receptor cluster member 8 (Fragment);Leukocyte receptor cluster member 8;Leukocyte receptor cluster member 8",13977.6904296875,11202.462890625,12250.0029296875,12313.134765625,11842.5302734375,10507.4404296875,10102.4599609375,10624.7958984375,7475.98193359375,9893.2275390625,9337.7529296875,10004.31640625,9152.9697265625,8821.5244140625,8717.8349609375,NA
"A0A087WUE6;Q3T8J9;Q9H869","GON4L;GON4L;YY1AP1","GON-4-like protein;GON-4-like protein;YY1-associated protein 1",13119.93359375,10757.6787109375,12207.5458984375,12893.7978515625,10154.6376953125,12282.626953125,10643.203125,12230.3154296875,12182.1630859375,8165.44189453125,6283.5419921875,7696.36328125,6232.8984375,6566.94775390625,7464.64013671875,NA
"A0A087WUK2;O14979","HNRNPDL","Heterogeneous nuclear ribonucleoprotein D-like",269043.59375,332046.125,270040.5,238767.015625,291437.5,311638.9375,247026.671875,305989.125,292864.90625,290143.71875,224436.578125,236298.0625,384060.625,201935.078125,313739,NA
"A0A087WUL4;A0A087WX23;A0A087WXK2;Q86TG7","PEG10","Retrotransposon-derived protein PEG10",12704.294921875,13445.4091796875,10681.076171875,8931.6064453125,11612.435546875,10971.9462890625,10630.087890625,11597.087890625,12268.9228515625,15000.939453125,11918.75390625,14528.7783203125,20909.017578125,20422.51953125,23095.8359375,NA
"A0A087WUT6;O60841","EIF5B","Eukaryotic translation initiation factor 5B",278098.0625,250933,281644.1875,250441.671875,234497.890625,225111.171875,232644.578125,237303.828125,265864.09375,275535.625,274970.53125,281958.03125,310226.25,322912.96875,309767.15625,NA
"A0A087WUV9;Q9NV66","TYW1","S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1",10310.2001953125,10434.5849609375,8313.54296875,8266.1015625,7736.3427734375,8674.38671875,7054.48095703125,7801.890625,9258.5595703125,5654.6318359375,6696.8232421875,7525.97119140625,8832.4677734375,14110.232421875,11134.00390625,NA
"A0A087WUW9;Q9NXU5","ARL15","ADP-ribosylation factor-like protein 15",12550.0634765625,11655.9072265625,11321.6669921875,9650.927734375,11966.1630859375,12387.27734375,14421.712890625,10602.4580078125,12035.2763671875,6947.02099609375,9074.6875,9171.845703125,11759.1923828125,15237.6279296875,12087.0244140625,NA
"A0A087WV05;Q99417",";MYCBP","Uncharacterized protein;c-Myc-binding protein",68079,51174.0078125,73594.59375,47413.6796875,60825.30078125,55372.578125,50425.1796875,53079.76953125,45490.5625,60963.328125,56480.64453125,60363.484375,80792.3046875,83530.921875,79671.6953125,NA
"A0A087WV25;O95684","FGFR1OP","FGFR1 oncogene partner",9912.9970703125,10587.716796875,14340.9130859375,6158.5791015625,8219.986328125,4596.18017578125,6158.3798828125,4304.83837890625,10458.3349609375,9334.869140625,10541.8310546875,8739.8671875,16798.259765625,19960.822265625,14822.0927734375,NA
"A0A087WVA1;P62341","SELENOT","Selenoprotein T;Thioredoxin reductase-like selenoprotein T",79970.328125,86693.5546875,81180.8671875,75643.125,69622.65625,63353.6796875,64265.265625,71911.0234375,53134.578125,54474.99609375,78042.578125,68966.109375,54014.6171875,63578.53515625,54895.03515625,NA
"A0A087WVA8;Q8IWB9","TEX2","Testis-expressed protein 2",46958.0625,45277.7578125,48485.5703125,37978.9921875,40526.4609375,45663.2890625,39255.98828125,44836.5859375,50357.21484375,45976.06640625,43205.43359375,44785.30859375,66394,72708.7421875,67083.4375,NA
"A0A087WVD1","LENG9","Leukocyte receptor cluster member 9",16996.623046875,13376.296875,15567.8671875,13287.359375,12448.1630859375,10649.822265625,10509.2919921875,11321.484375,8372.2421875,8399.0400390625,8509.6103515625,8482.814453125,14283.390625,13104.244140625,13572.6025390625,NA
"A0A087WVE9;Q9HBZ2","ARNT2","Aryl hydrocarbon receptor nuclear translocator 2",3319.73681640625,2702.9931640625,2655.52856445313,2483.65063476563,5499.5732421875,5071.267578125,3369.15234375,5464.46337890625,8217.1748046875,5969.08935546875,4874.205078125,5386.85205078125,1602.755859375,1298.44018554688,738.77490234375,NA
"A0A087WVF7;Q9NZM3","ITSN2","Intersectin-2",25904.513671875,25134.853515625,25618.958984375,24588.1796875,24195.19140625,26151.62109375,27293.603515625,24180.126953125,29110.498046875,28133.580078125,25174.541015625,25672.24609375,31048.40234375,27526.361328125,26665.67578125,NA
"A0A087WVG4;A0A140TA01;A2AB22;A2AB23;E9PQT8;E9PQZ5;O43189","PHF1","PHD finger protein 1;PHD finger protein 1;PHD finger protein 1 (Fragment);PHD finger protein 1 (Fragment);PHD finger protein 1;PHD finger protein 1;PHD finger protein 1",3925.03173828125,3667.06494140625,3580.9140625,3876.09130859375,4073.857421875,4212.44580078125,2901.31787109375,4452.974609375,4598.22412109375,5842.697265625,5018.78857421875,6151.53564453125,3327.82641601563,2594.31567382813,2700.80004882813,NA
"A0A087WVI1;Q96JY6","PDLIM2","PDZ and LIM domain protein 2",11962.986328125,11577.3115234375,9821.6953125,10887.1201171875,15243.49609375,14870.3984375,20583.607421875,13668.9853515625,14712.0439453125,9775.1611328125,4347.80078125,9110.4892578125,16005.8154296875,12349.8134765625,12526.3935546875,NA
"A0A087WVI4;A0A0G2JMM6;A0A0G2JMP8","TMC4","Transmembrane channel-like protein",20665.5625,19861.06640625,18493.734375,22118.77734375,19178.412109375,36202.8046875,24376.515625,22225.4921875,26159.5546875,14212.1669921875,11075.8056640625,14161.19140625,NA,NA,4196.7236328125,NA
"A0A087WVM4;B7ZM99","MTHFD1L","Monofunctional C1-tetrahydrofolate synthase, mitochondrial;MTHFD1L protein",290429.71875,296141.0625,299729.625,283746.90625,228932.703125,233653.28125,237531.09375,242047.1875,196720.34375,209164.171875,197531.265625,206972.21875,155149.515625,172058.6875,176866.4375,NA
"A0A087WVQ6;Q00610","CLTC","Clathrin heavy chain;Clathrin heavy chain 1",3262093.5,3348679.25,3211497.25,3054833.25,3124676.75,3122514.25,3325193.25,3146121,3486894.25,3160480.25,3158317.75,3139321.5,4026206.75,4344979.5,4005133.75,9867547
"A0A087WVT1;Q96MX3","ZNF48","Zinc finger protein 48",7398.2314453125,8304.4150390625,9920.17578125,3977.6669921875,7744.125,8776.83984375,5834.638671875,9851.9169921875,10201.3408203125,10207.7900390625,11922.0654296875,10676.3505859375,9823.2509765625,9937.9912109375,11887.2841796875,NA
"A0A087WVW6;Q9UHV5","RAPGEFL1","Rap guanine nucleotide exchange factor-like 1",8979.6884765625,7432.1376953125,8716.208984375,4300.88037109375,3029.96069335938,4173.07861328125,4257.4306640625,6258.93896484375,697.455688476563,1098.4794921875,2727.97241210938,3229.087890625,10663.0341796875,21407.28125,14612.9521484375,NA
"A0A087WVZ6","ZMYND8","Protein kinase C-binding protein 1",21655.279296875,19653.453125,21461.12109375,12209.9150390625,20527.71484375,21964.771484375,23629.306640625,21935.94140625,14749.494140625,16530.76953125,11727.7763671875,12973.2080078125,15176.25390625,13651.3642578125,12890.3134765625,NA
"A0A087WVZ9;P19388","POLR2E","DNA-directed RNA polymerases I, II, and III subunit RPABC1;DNA-directed RNA polymerases I, II, and III subunit RPABC1",104693.7578125,141246.5,102542.9765625,91866.53125,92006.359375,131864.46875,82866.015625,98534.2734375,125879.875,150936,119619.5625,121725.40625,185441.4375,144960.375,195584.484375,NA
"A0A087WW00;C9J9H9;P51668;Q9Y2X8","UBE2D1;UBE2D4;UBE2D1;UBE2D4","Ubiquitin-conjugating enzyme E2 D1;Ubiquitin-conjugating enzyme E2 D4;Ubiquitin-conjugating enzyme E2 D1;Ubiquitin-conjugating enzyme E2 D4",50523.05078125,49423.40234375,49361.4921875,57339.1015625,76369.2890625,71630.390625,84893.65625,66625.375,63091.6953125,59598.77734375,59754.66015625,61001.640625,73054.984375,72795.015625,79129.25,NA
"A0A087WW40;Q9Y371","SH3GLB1","Endophilin-B1",39798.515625,35887.13671875,39642.64453125,36180.55859375,37604.3203125,41721.32421875,40968.796875,38696.8671875,34214.2890625,24640.185546875,27788.58203125,31623.798828125,21000.427734375,26666.263671875,23878.85546875,NA
"A0A087WW43;E7ET33;Q06033","ITIH3","Inter-alpha-trypsin inhibitor heavy chain H3",67728.75,99771.1171875,69209.3125,136555.296875,46453.21484375,85850.34375,37225.765625,92181.5625,80459.3046875,39104.76171875,89812.1484375,70457.2421875,35801.9609375,30173.15625,68587.84375,NA
"A0A087WW58;Q9C0D9","SELENOI","Ethanolaminephosphotransferase 1",154604.90625,175154.671875,176164.859375,195097.0625,121580.2890625,150942.78125,132630.9375,104910,147279.1875,130698.640625,5493.5078125,102492.7578125,127504.140625,117748.4453125,116063.3828125,NA
"A0A087WW66","PSMD1","26S proteasome non-ATPase regulatory subunit 1",24744.96875,25745.025390625,27833.41796875,25118.705078125,23578.669921875,21707.365234375,25783.1171875,NA,24436.025390625,23590.517578125,26307.02734375,28275.482421875,26026.90234375,27663.07421875,25314.63671875,NA
"A0A087WWA0;C9J7M2;C9JB67;C9JYP7;F8WDH6;Q13568","IRF5","Interferon regulatory factor 5;Interferon regulatory factor 5 (Fragment);Interferon regulatory factor 5 (Fragment);Interferon regulatory factor 5 (Fragment);Interferon regulatory factor 5;Interferon regulatory factor 5",7859.94482421875,8581.21484375,8534.81640625,9549.2216796875,7519.21728515625,5178.2236328125,6907.86865234375,6273.64892578125,10427.2587890625,11546.4404296875,7648.2978515625,7798.755859375,5605.4775390625,4076.33251953125,6402.47119140625,NA
"A0A087WWA3;O60333;Q4R9M9","KIF1B","Kinesin-like protein KIF1B;Kinesin-like protein KIF1B;Kinesin family member 1Bbeta isoform II",61675.2578125,74755.765625,71073.5,65984.7421875,45621.2265625,55990.03515625,49625.1796875,59279.875,52631.35546875,57800.1484375,59076.203125,60665.14453125,54880.58203125,61711.00390625,57078.76171875,NA
