NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		50	0.3654168	1.2293774	0.15703972	0.20348641	0.973	297	tags=16%, list=4%, signal=17%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		102	0.32152665	1.2023267	0.13878328	0.22660366	0.987	1269	tags=30%, list=18%, signal=37%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		98	0.30181518	1.1419342	0.2047532	0.30740958	0.997	884	tags=19%, list=13%, signal=22%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		35	0.3663992	1.1339307	0.26605505	0.30847982	0.999	1839	tags=40%, list=27%, signal=54%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		66	0.31707016	1.1181755	0.2746479	0.32282233	1.0	1086	tags=26%, list=16%, signal=30%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		48	0.31260633	1.0330008	0.37957612	0.4712582	1.0	1086	tags=31%, list=16%, signal=37%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		15	0.40103638	1.0209424	0.41412213	0.47844788	1.0	714	tags=27%, list=10%, signal=30%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		100	0.26970965	1.0177215	0.42477876	0.46879348	1.0	1622	tags=34%, list=23%, signal=44%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		48	0.29863852	0.98554677	0.46846846	0.51571614	1.0	1033	tags=21%, list=15%, signal=24%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		18	0.3442286	0.9276292	0.5671642	0.6182408	1.0	714	tags=28%, list=10%, signal=31%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		28	0.27661428	0.8280995	0.74236643	0.7970295	1.0	1482	tags=32%, list=21%, signal=41%	
