KO_1G4_r1	KO_1G4_r2	KO_1G4_r3	KO_1G4_r4	KO_3G4_r1	KO_3G4_r2	KO_3G4_r3	KO_3G4_r4	LTED_r1	LTED_r2	LTED_r3	LTED_r4	WT_r1	WT_r2	WT_r3	C: Student's T-test Significant KO_3G4_LTED	C: Student's T-test significant	N: number	N: -Log Student's T-test p-value KO_3G4_LTED	N: Student's T-test q-value KO_3G4_LTED	N: Student's T-test Difference KO_3G4_LTED	N: Student's T-test Test statistic KO_3G4_LTED	T: ProteinGroup	T: Gene	T: Description
14,7475	12,4346	13,2005	11,5917	14,686	14,4825	14,16	14,3907	12,7903	11,4887	12,1714	12,2731	14,8106	15,0097	13,5856	+	KO_3G4_LTED	15	3,62549	0,000248062	2,24892	7,78335	Q460N5	PARP14	Protein mono-ADP-ribosyltransferase PARP14
13,4848	13,3425	13,0438	11,2677	17,0732	16,5792	16,5309	16,5163	13,5824	13,5865	14,0007	13,5367	12,9337	13,0416	12,4956	+	KO_3G4_LTED	15	5,64007	0	2,99831	17,4252	Q5SXH7	PLEKHS1	Pleckstrin homology domain-containing family S member 1
15,1868	13,7654	14,4146	12,7056	15,5323	15,3677	15,4918	15,3811	12,3694	12,2649	12,4205	11,7696	13,1569	14,1762	13,7134	+	KO_3G4_LTED	15	6,11333	0	3,23713	20,9504	Q5T0I0	GSN	Gelsolin (Fragment)
11,4092	11,4769	11,3014	11,7728	12,0561	11,9921	11,8672	11,897	10,0594	NaN	10,0747	9,31896	12,7637	12,7271	12,2749	+	KO_3G4_LTED	14	3,75384	0,000274847	2,1354	9,93634	Q6P4A8	PLBD1	Phospholipase B-like 1
19,1829	19,0625	19,074	19,2042	20,1236	20,2756	20,3366	20,1354	18,0874	18,1567	18,1394	18,0991	14,7461	14,1694	14,3764	+	KO_3G4_LTED	15	7,66193	0	2,09717	38,1144	Q6XQN6	NAPRT	Nicotinate phosphoribosyltransferase
16,6029	15,538	15,7799	15,9748	16,6781	16,5683	16,6247	16,5914	15,0098	14,1717	14,3026	13,8606	14,9012	14,7561	14,3559	+	KO_3G4_LTED	15	4,06841	0,000169811	2,27941	9,33901	Q7L5L3	GDPD3	Lysophospholipase D GDPD3
13,3497	14,1313	13,7085	14,2848	14,9108	15,1206	15,2727	14,8913	13,1303	11,7812	11,7823	11,6892	12,7294	12,8493	12,9663	+	KO_3G4_LTED	15	3,77031	0,000277916	2,95312	8,26528	Q7L5N7	LPCAT2	Lysophosphatidylcholine acyltransferase 2
11,6017	12,0566	11,5282	10,8729	10,8484	9,91124	NaN	10,4719	13,189	12,628	12,3823	12,1122	13,2827	13,5294	13,2346	+	KO_3G4_LTED	14	2,77156	0,00179541	-2,16737	-6,11767	Q7Z2K8	GPRIN1	G protein-regulated inducer of neurite outgrowth 1
15,3409	12,7078	13,7624	11,553	14,5679	14,1445	13,8868	13,9204	11,8145	11,0342	11,5089	12,9231	14,3071	14,0937	11,9908	+	KO_3G4_LTED	15	2,76339	0,00178325	2,30972	5,36234	Q8IXQ6	PARP9	Protein mono-ADP-ribosyltransferase PARP9
12,4379	11,7009	11,4501	13,3321	12,5293	12,4976	13,4303	12,7737	10,4519	9,65752	10,1174	NaN	10,3086	11,3721	11,1728	+	KO_3G4_LTED	14	3,43691	0,000764088	2,73213	8,52398	Q8N271	PROM2	Prominin-2
14,1602	14,0689	13,5722	13,9877	12,053	11,9493	10,8	11,7747	13,8771	14,7128	15,1795	14,1477	12,2839	13,2854	11,3102	+	KO_3G4_LTED	15	3,35002	0,000783394	-2,83501	-6,93151	Q8TAP8	PPP1R35	Protein phosphatase 1 regulatory subunit 35
14,2704	12,126	12,5932	11,5563	13,9393	13,7575	13,5273	13,4949	11,0614	10,8141	11,446	11,1282	13,7866	13,7716	12,2162	+	KO_3G4_LTED	15	5,32257	0	2,56734	15,3895	Q8TDB6	DTX3L	E3 ubiquitin-protein ligase DTX3L
17,3111	17,4899	17,3778	16,9823	16,6113	16,6526	16,5905	16,7409	18,9244	18,8692	18,6462	18,618	15,7106	15,6601	15,5859	+	KO_3G4_LTED	15	6,57922	0	-2,11562	-25,0969	Q8TDJ6	DMXL2	DmX-like protein 2
13,2488	12,949	12,1312	13,1974	14,7953	14,9545	14,7606	14,9487	13,4851	11,657	13,3605	11,4281	10,3527	11,4374	12,0646	+	KO_3G4_LTED	15	2,31629	0,00412325	2,38212	4,34908	Q8TE85	GRHL3	Grainyhead-like protein 3 homolog
10,9634	10,6621	11,1824	7,68766	10,1691	10,9761	10,1964	10,7851	13,2094	13,5737	13,4914	13,1469	15,2354	15,5305	14,8924	+	KO_3G4_LTED	15	4,74637	0,000144144	-2,82369	-12,2604	Q8WY54	PPM1E	Protein phosphatase 1E
14,7085	14,4207	14,55	14,1101	15,7615	15,7559	15,6335	15,4583	13,6577	13,1504	13,7554	13,5841	13,3641	12,9782	13,7833	+	KO_3G4_LTED	15	5,07906	0	2,11534	13,9846	Q96BW5	PTER	Phosphotriesterase-related protein
13,5971	13,3039	12,693	6,96264	15,4563	15,0868	15,0948	14,9273	13,6003	13,0589	13,0858	12,5537	12,1585	13,6517	12,3696	+	KO_3G4_LTED	15	3,85749	0,000224	2,0666	8,56752	Q96CV9	OPTN	Optineurin
14,1066	13,0503	13,1735	11,6266	15,1129	14,975	15,2208	14,9755	12,7049	12,2707	12,7535	12,4688	13,1611	13,1023	13,1192	+	KO_3G4_LTED	15	5,98207	0	2,52161	19,9085	Q96EM0	L3HYPDH	Trans-3-hydroxy-L-proline dehydratase
11,1675	10,7719	11,352	NaN	10,1804	10,7197	9,86686	10,8664	13,2145	13,2291	12,9309	13,0748	10,4526	9,82326	10,7846	+	KO_3G4_LTED	14	4,50006	0,000114286	-2,70401	-11,1142	Q96GN5	CDCA7L	Cell division cycle-associated 7-like protein
13,7043	13,7371	13,6056	13,3118	13,4336	13,0818	13,0807	13,4106	10,9154	10,9049	10,9513	11,1673	11,5624	11,2938	11,195	+	KO_3G4_LTED	15	5,92994	0	2,26694	19,509	Q96S94	CCNL2	Cyclin-L2
13,411	13,6861	13,1641	11,4425	12,5121	12,7539	13,6068	12,5305	15,1906	15,0992	14,9761	15,0611	12,6139	11,6635	13,0497	+	KO_3G4_LTED	15	3,84517	0,000219895	-2,23092	-8,52425	Q9BPU6	DPYSL5	Dihydropyrimidinase-related protein 5
11,9834	11,4123	11,5217	10,5662	12,7559	12,7679	12,5545	12,66	10,5901	9,76774	10,3117	10,6107	11,9118	11,3308	11,3067	+	KO_3G4_LTED	15	4,62376	0,000126649	2,3645	11,6768	Q9BSW2	CRACR2A	EF-hand calcium-binding domain-containing protein 4B
NaN	10,0825	10,061	11,8007	11,98	12,4873	12,3359	12,2911	15,3821	15,0647	15,0774	15,2491	13,2669	12,5344	14,0333	+	KO_3G4_LTED	14	6,28002	0	-2,91972	-22,3504	Q9H1K4	SLC25A18	Mitochondrial glutamate carrier 2
15,8107	14,9349	14,939	15,013	17,5553	17,5976	17,9293	17,5505	13,3806	13,653	14,3316	13,6239	12,0046	11,7345	12,1311	+	KO_3G4_LTED	15	5,65087	0	3,91091	17,4988	Q9HCJ6	VAT1L	Synaptic vesicle membrane protein VAT-1 homolog-like
NaN	9,40565	10,1941	10,4048	11,2009	12,0685	12,4722	11,8929	10,9308	8,72197	10,1946	9,11645	12,9172	13,0046	12,4098	+	KO_3G4_LTED	14	2,05	0,00666667	2,16769	3,80529	Q9HCY8	S100A14	Protein S100-A14
14,9983	13,4995	14,0241	13,5244	14,8555	14,3802	14,3476	14,4628	12,0065	12,0019	11,8376	11,9559	13,0599	12,6407	12,0336	+	KO_3G4_LTED	15	6,08468	0	2,56102	20,7186	Q9NUL5	SHFL	Shiftless antiviral inhibitor of ribosomal frameshifting protein
14,71	14,6618	14,5943	14,5729	15,2994	15,3514	15,325	15,2609	12,8722	12,9262	13,3859	12,9358	13,7106	14,0356	13,6718	+	KO_3G4_LTED	15	5,84007	0	2,27915	18,8383	Q9NZC7	WWOX	WW domain-containing oxidoreductase
17,3817	16,2144	16,4573	16,3164	18,0935	18,0172	18,154	17,9834	15,6944	15,4274	15,7572	15,4136	15,3344	15,233	15,3883	+	KO_3G4_LTED	15	6,63675	0	2,48889	25,6617	Q9NZJ9	NUDT4	Diphosphoinositol polyphosphate phosphohydrolase 2
12,461	12,8989	13,2098	11,0322	12,3143	12,8255	12,1417	12,3278	15,049	14,9245	14,7768	14,9487	10,5653	11,7243	11,3549	+	KO_3G4_LTED	15	5,42191	0	-2,52244	-16,0005	Q9P2C4	TMEM181	Transmembrane protein 181
8,72266	10,7477	10,7201	NaN	NaN	9,48292	10,4007	11,0657	13,1148	12,6469	11,9091	12,5111	11,6531	11,9977	12,2288	+	KO_3G4_LTED	13	2,23753	0,00465749	-2,229	-4,61006	Q9UBC3	DNMT3B	DNA (cytosine-5)-methyltransferase 3B
12,572	13,4128	12,7943	13,0792	14,4847	14,6906	14,8915	14,4562	11,4066	11,4475	11,894	11,3926	13,2052	13,4872	13,1602	+	KO_3G4_LTED	15	5,95324	0	3,09558	19,6866	Q9UBG0	MRC2	C-type mannose receptor 2
13,0339	12,2825	12,3059	10,8242	14,7856	14,2978	14,5034	14,7295	12,0587	11,9213	12,3628	11,7088	12,5978	13,2386	13,1793	+	KO_3G4_LTED	15	5,17207	0	2,56618	14,5061	Q9UHG0	DCDC2	Doublecortin domain-containing protein 2
13,0866	13,2059	12,6101	13,3912	NaN	11,6818	10,8454	10,7499	13,0641	13,9046	12,3802	13,2749	13,1586	11,9249	12,6619	+	KO_3G4_LTED	14	2,24121	0,00461059	-2,06359	-4,61942	Q9UKA9	PTBP2	Polypyrimidine tract-binding protein 2
15,269	15,4763	15,3486	15,5534	13,5342	13,735	13,5396	13,7491	15,707	15,9237	15,6475	15,6761	16,0251	15,7306	16,1153	+	KO_3G4_LTED	15	6,49388	0	-2,0991	-24,2814	Q9Y281	CFL2	Cofilin-2
17,6353	15,593	16,114	15,1149	17,1056	16,8199	16,4748	16,8901	14,5355	14,097	14,2769	14,2892	17,0013	16,9649	15,4484	+	KO_3G4_LTED	15	5,40222	0	2,52294	15,8776	Q9Y6K5	OAS3	2'-5'-oligoadenylate synthase 3
16,6277	14,647	14,956	13,8995	19,473	18,9789	18,9572	18,8366	15,2771	14,9209	15,8932	15,0543	17,4339	17,1695	16,8954	+	KO_3G4_LTED	15	5,20265	0	3,77503	14,6816	Q9Y6U3	SCIN	Adseverin
